nom,quartier_slug,adresse,latitude,longitude,telephone,statut,source,horaires
Pharmacie Merveilleuse Essos,essos,"Rue Merveilleuse, Essos",3.8742,11.5365,+237 222 22 77 99,non_verifie,admin,"{}"
Pharmacie Bonne Santé Essos,essos,"Essos Centre-Sud",3.8758,11.5328,+237 222 22 88 11,non_verifie,admin,"{}"
Pharmacie du Campus,mvan,"Entrée Université Yaoundé I, Mvan",3.8560,11.4960,+237 222 21 11 22,non_verifie,admin,"{}"
Pharmacie Étudiante,mvan,"Rue des Étudiants, Mvan",3.8575,11.4975,+237 222 21 33 44,non_verifie,admin,"{}"
Pharmacie du Savoir,mvan,"Boulevard Universitaire, Mvan",3.8550,11.4950,+237 222 21 55 66,non_verifie,admin,"{}"
Pharmacie la Référence Mvan,mvan,"Carrefour Mvan",3.8580,11.4980,+237 222 21 77 88,non_verifie,admin,"{}"
Pharmacie Mvan Centre,mvan,"Centre Mvan",3.8565,11.4965,+237 222 21 99 00,non_verifie,admin,"{}"
Pharmacie de l'Espérance Mvan,mvan,"Avenue de l'Espérance, Mvan",3.8545,11.4955,+237 222 21 22 33,non_verifie,admin,"{}"
Pharmacie Jeunesse,mvan,"Quartier Jeunesse, Mvan",3.8590,11.4990,+237 222 21 44 55,non_verifie,admin,"{}"
Pharmacie le Progrès Mvan,mvan,"Rue du Progrès, Mvan",3.8555,11.4970,+237 222 21 66 77,non_verifie,admin,"{}"
Pharmacie Bien-Être Mvan,mvan,"Mvan Nord",3.8585,11.4985,+237 222 21 88 99,non_verifie,admin,"{}"
Pharmacie Soleil Mvan,mvan,"Mvan Est",3.8570,11.4995,+237 222 21 11 33,non_verifie,admin,"{}"
Pharmacie de Ngousso,ngousso,"Carrefour Ngousso",3.8900,11.5250,+237 222 25 11 22,non_verifie,admin,"{}"
Pharmacie Nouvelle Ngousso,ngousso,"Avenue Ngousso",3.8915,11.5265,+237 222 25 33 44,non_verifie,admin,"{}"
Pharmacie la Grâce Ngousso,ngousso,"Ngousso Centre",3.8905,11.5255,+237 222 25 55 66,non_verifie,admin,"{}"
Pharmacie Avenir Ngousso,ngousso,"Ngousso Sud",3.8890,11.5240,+237 222 25 77 88,non_verifie,admin,"{}"
Pharmacie Développement Ngousso,ngousso,"Ngousso Nord",3.8920,11.5270,+237 222 25 99 00,non_verifie,admin,"{}"
Pharmacie de l'Aéroport,odza,"Route de l'Aéroport, Odza",3.8380,11.5520,+237 222 24 11 22,non_verifie,admin,"{}"
Pharmacie la Moderne Nlongkak,nlongkak,"Carrefour Nlongkak",3.8780,11.5120,+237 222 26 11 22,non_verifie,admin,"{}"
Pharmacie Saint-Michel Nlongkak,nlongkak,"Rue Saint-Michel, Nlongkak",3.8790,11.5135,+237 222 26 33 44,non_verifie,admin,"{}"
